,Species,Host
190,Pseudomonas virus R18,Pseudomonas
191,Mycobacterium virus Athena,Mycolicibacterium smegmatis MC2 155
192,Acinetobacter virus WCHABP1,Acinetobacter baumannii
193,Acinetobacter virus WCHABP5,Acinetobacter baumannii
194,Pseudomonas virus G1,Pseudomonas aeruginosa
195,Mycobacterium virus Jebeks,Mycolicibacterium smegmatis MC2 155
196,Mycobacterium virus Bongo,Mycolicibacterium smegmatis MC2 155
197,Mycobacterium virus Rey,Mycolicibacterium smegmatis MC2 155
198,Erwinia virus Deimos,Erwinia amylovora
199,Erwinia virus RAY,Erwinia amylovora
200,Erwinia virus Simmy50,Erwinia amylovora
201,Erwinia virus SpecialG,Erwinia amylovora
202,Brevibacillus virus Jimmer,Brevibacillus laterosporus
203,Citrobacter virus Mordin,Citrobacter freundii
204,Erwinia virus M7,Erwinia amylovora
205,Escherichia virus TP1,Escherichia coli O157:H7
206,Enterobacter virus Eap3,Klebsiella aerogenes
207,Klebsiella virus Miro,Klebsiella pneumoniae
208,Mycobacterium virus Twister,Mycolicibacterium smegmatis MC2 155
209,Mycobacterium virus Timshel,Mycolicibacterium smegmatis MC2 155
210,Mycobacterium virus Tiger,Mycolicibacterium smegmatis MC2 155
211,Mycobacterium virus Switzer,Mycolicibacterium smegmatis MC2 155
212,Mycobacterium virus Spartacus,Mycolicibacterium smegmatis MC2 155
213,Mycobacterium virus Sirduracell,Mycolicibacterium smegmatis MC2 155
214,Mycobacterium virus Shilan,Mycolicibacterium smegmatis MC2 155
215,Mycobacterium virus Shauna1,Mycolicibacterium smegmatis MC2 155
216,Escherichia virus ST0,Escherichia coli H8
217,Salmonella virus AG11,Salmonella enterica subsp. enterica serovar Enteritidis
218,Salmonella virus wksl3,Salmonella
219,Mycobacterium virus Sebata,Mycolicibacterium smegmatis MC2 155
220,Pseudomonas virus Noxifer,Pseudomonas fluorescens SBW25
221,Shigella virus ISF002,Shigella sonnei
222,Serratia virus CHI14,Serratia sp. ATCC 39006
223,Acidovorax virus ACP17,Acidovorax citrulli
224,Acinetobacter virus AbP2,Acinetobacter baumannii
225,Arthrobacter virus Beans,Arthrobacter sp. ATCC 21022
226,Arthrobacter virus Colucci,Arthrobacter sp. ATCC 21022
227,Arthrobacteria virus Molivia,Arthrobacter sp. ATCC 21022
228,Arthrobacter virus Abidatro,Arthrobacter sp. ATCC 21022
229,Acinetobacter phage vB_AbaP_B1,Acinetobacter baumannii
230,Acinetobacter phage vB_AbaP_B3,Acinetobacter baumannii
231,Acintetobacter virus B5,Acinetobacter baumannii
232,Acinetobacter phage vB_ApiP_P1,Acinetobacter pittii
233,Acinetobacter phage vB_ApiP_P2,Acinetobacter pittii
234,Streptomyces virus Mildred21,Streptomyces viridochromogenes
235,Streptomyces virus NootNoot,Streptomyces griseus
236,Streptomyces virus Paradiddles,Streptomyces griseus
237,Streptomyces virus Peebs,Streptomyces lividans
238,Streptomyces virus Samisti12,Streptomyces griseus
239,Agrobacterium virus Atuph07,Agrobacterium tumefaciens
240,Arthrobacter virus Piccoletto,Arthrobacter sp. ATCC 21022
241,Arthrobacter virus Shade,Arthrobacter sp. ATCC 21022
242,Strepomyces virus Drgrey,Streptomyces griseus
243,Shigella virus Sf13,Shigella flexneri
244,Erwinia virus Risingsun,Erwinia amylovora
245,Aeromonas virus Asgz,Aeromonas salmonicida subsp. salmonicida
246,Arthrobacter virus Adat,Arthrobacter sp. ATCC 21022
247,Enterococcus virus phiSHEF2,Enterococcus faecalis
248,Enterococcus virus phiSHEF4,Enterococcus faecalis
249,Enterococcus virus phiSHEF5,Enterococcus faecalis
250,Lactococcus virus P2,Lactococcus lactis subsp. cremoris MG1363
251,Salmonella virus SE1Kor,Salmonella enterica subsp. enterica serovar Enteritidis
252,Mycobacterium virus Pumpkin,Mycolicibacterium smegmatis MC2 155
253,Acinetobacter virus AB1,Acinetobacter baumannii
254,Edwardsiella virus eiAU,Edwardsiella ictaluri
255,Mycobacterium virus Yoshi,Mycolicibacterium smegmatis MC2 155
256,Mycobacterium virus Anaya,Mycolicibacterium smegmatis MC2 155
257,Mycobacterium virus Marvin,Mycolicibacterium smegmatis MC2 155
258,Mycobacterium virus Send513,Mycolicibacterium smegmatis MC2 155
259,Mycobacterium virus Chrisnmich,Mycolicibacterium smegmatis MC2 155
260,Mycobacterium virus Zemanar,Mycolicibacterium smegmatis MC2 155
261,Mycobacterium virus Rockstar,Mycolicibacterium smegmatis MC2 155
262,Aeromonas virus pIS4A,Aeromonas sp. IS4
263,Escherichia virus KP26,Salmonella enterica
264,Shigella virus Sf22,Shigella flexneri
265,Rhodococcus virus Trina,Rhodococcus erythropolis
266,Klebsiella virus KpV52,Klebsiella pneumoniae
267,Streptomyces virus Scap1,Streptomyces scabiei
268,Escherichia virus SRT8,Escherichia coli BL21
269,Salmonella virus Melville,Salmonella enterica subsp. enterica serovar Newport
270,Gordonia virus Lennon,Gordonia terrae
271,Escherichia virus C119,Escherichia coli
272,Serratia virus IME250,Serratia rubidaea
273,Listeria virus LMTA34,Listeria monocytogenes
274,Rhodobacter virus RcCronus,Rhodobacter capsulatus YW1
275,Mycobacterium virus Godines,Mycolicibacterium smegmatis
276,Streptomyces virus Aaronocolus,Streptomyces griseus
277,Streptomyces virus Hydra,Streptomyces griseus
278,Arthrobacter virus Trina,Arthrobacter sp. ATCC 21022
279,Pseudomonas virus KIL2,Pseudomonas syringae
280,Mycobacterium virus Pipsqueaks,Mycolicibacterium smegmatis MC2 155
281,Erwinia virus Machina,Erwinia amylovora
282,Escherichia virus DE3,Escherichia coli BL21(DE3)
283,Mycobacterium virus Wonder,Unknown
284,Halobacterium virus phiH,Unknown
285,Pseudomonas virus PA7,Pseudomonas aeruginosa
286,Salmonella virus STML131,Salmonella
287,Salmonella virus SP069,Salmonella enterica
288,Salmonella virus SP101,Salmonella enterica
289,Salmonella virus SP126,Salmonella enterica
290,Citrobacter virus CF1,Citrobacter freundii
291,Pseudomonas virus phiNN,Pseudomonas sp.
292,Pseudomonas virus phiYY,Pseudomonas aeruginosa
293,Vibrio virus JSF10,Vibrio cholerae
294,Shigella virus Sf14,Shigella flexneri
295,Shigella virus Sf17,Shigella boydii
296,Shigella virus Sf21,Shigella flexneri
297,Shigella virus Sf24,Shigella flexneri
298,Pseudomonas virus E217,Pseudomonas
299,Pseudomonas virus E215,Pseudomonas
300,Pseudomonas virus SL2,Pseudomonas aeruginosa
301,Stenotrophomonas virus DLP5,Stenotrophomonas maltophilia
302,Gluconobacter virus GC1,Gluconobacter cerinus
303,Escherichia phage VB_EcoS-Golestan,Escherichia coli
304,Corynebacterium virus C3PO,Corynebacterium vitaeruminis
305,Corynebacterium virus Darwin,Corynebacterium vitaeruminis
306,Corynebacterium virus Zion,Corynebacterium vitaeruminis
307,Gordonia virus Gustav,Gordonia terrae
308,Gordonia virus Mahdia,Gordonia terrae
309,Proteus virus PM135,Proteus mirabilis
310,Pseudomonas virus nickie,Pseudomonas syringae pv. avii
311,Pseudomonas virus tabernarius,Pseudomonas syringae pv. avii
312,Klebsiella virus Sugarland,Klebsiella pneumoniae
313,Vibrio virus Ceto,Vibrio harveyi
314,Vibrio virus Thalassa,Vibrio harveyi
315,Salmonella virus BPS17L1,Salmonella enterica subsp. enterica serovar Shubra
316,Salmonella virus BPS17W1,Salmonella enterica subsp. enterica serovar Shubra
317,Erwinia virus Desertfox,Erwinia amylovora
318,Microbacterium virus Dismas,Microbacterium foliorum
319,Vibrio virus Aphrodite1,Vibrio alginolyticus
320,Enterococcus virus PMBT2,Enterococcus faecalis
321,Gordonia virus Troje,Gordonia terrae
322,Pseudomonas virus Bjorn,Pseudomonas
323,Pseudomonas virus PollyC,Pseudomonas
324,Streptomyces virus BillNye,Streptomyces viridochromogenes
325,Streptomyces virus Bing,Streptomyces lividans
326,Pseudomonas virus NV1,Pseudomonas tolaasii NCPPB 2192
327,Gordonia virus Brandonk123,Gordonia terrae
328,Microbacterium virus Eleri,Microbacterium foliorum
329,Microbacterium virus Hamlet,Microbacterium foliorum
330,Microbacterium virus Ilzat,Microbacterium foliorum
331,Campylobacter virus CP81,Campylobacter jejuni
332,Pseudomonas virus CAb02,Pseudomonas aeruginosa
333,Streptococcus virus Cp7,Streptococcus pneumoniae
334,Yersinia virus Yen9-04,Yersinia
335,Microbacterium virus Golden,Microbacterium foliorum
336,Microbacterium virus Koji,Microbacterium foliorum
337,Microbacterium virus Pikmin,Microbacterium foliorum
338,Pantoea virus Vid5,Pantoea agglomerans
339,Pseudoalteromonas virus Cr39582,Pseudoalteromonas
340,Enterobacter virus EcL1,Enterobacter cloacae
341,Gordonia virus Waits,Gordonia terrae
342,Acinetobacter phage vB_AbaP_D2,Acinetobacter baumannii
343,Enterococcus virus LY0322,Enterococcus faecalis
344,Enterococcus virus AL3,Enterococcus faecalis
345,Enterococcus virus AL2,Enterococcus faecalis
346,Escherichia virus RCS47,Escherichia coli
347,Escherichia virus slur03,Escherichia coli
348,Escherichia virus slur04,Escherichia coli
349,Pectobacterium virus CB5,Pectobacterium atrosepticum
350,Gordonia virus Sour,Gordonia terrae
351,Bacillus virus SIOphi,Bacillus subtilis
352,Enterococcus virus AUEF3,Enterococcus faecalis
353,Pseudomonas virus JBD67,Pseudomonas
354,Vibrio virus VP4B,Vibrio harveyi
355,Acinetobacter virus Loki,Acinetobacter baumannii ATCC 17978
356,Klebsiella virus PMBT1,Klebsiella
357,Alces alces faeces associated microvirus MP12 5423,Unknown
358,Lynx canadensis associated microvirus CLP 9413,Unknown
359,Lepus americanus faeces associated microvirus SHP1 6472,Unknown
360,Alces alces faeces associated microvirus MP11 5517,Unknown
361,Alces alces faeces associated microvirus MP21 4718,Unknown
362,Alces alces faeces associated microvirus MP10 5560,Unknown
363,Alces alces faeces associated microvirus MP18 4940,Unknown
364,Alces alces faeces associated microvirus MP15 5067,Unknown
365,Alces alces faeces associated microvirus MP3 6497,Unknown
366,Pectobacterium phage PP16,Pectobacterium carotovorum
367,Pseudomonas phage Pa2,Pseudomonas aeruginosa PAO1
368,Enterococcus virus EFDG1,Enterococcus faecalis
369,Enterococcus virus EFLK1,Enterococcus faecalis
370,Streptomyces phage phiSAJS1,Streptomyces avermitilis
371,Acinetobacter virus IME200,Acinetobacter baumannii
372,Escherichia virus G4,Escherichia
373,Mycobacterium virus Giles,Mycolicibacterium smegmatis
374,Ralstonia virus RSF1,Ralstonia solanacearum
375,Enterococcus phage vB_EfaS_IME197,Enterococcus faecalis
376,Escherichia virus SUSP1,Escherichia coli str. K-12 substr. MG1655
377,Escherichia virus SUSP2,Escherichia coli str. K-12 substr. MG1655
378,Yersinia phage phi80-18,Yersinia
379,Mycobacterium virus Wee,Mycolicibacterium smegmatis
380,Enterobacter phage Tyrion,Enterobacter sp. CT7
381,Mycobacterium virus Patience,Mycolicibacterium smegmatis MC2 155
382,uncultured crAssphage,bacterium
383,Arthrobacter virus Decurro,Arthrobacter sp. ATCC 21022
384,Rhizobium phage RHEph10,Rhizobium etli CFN 42
385,Delftia phage RG-2014,Delftia tsuruhatensis
386,Gordonia virus BaxterFox,Gordonia terrae
387,Gordonia virus Yeezy,Gordonia terrae
388,Salmonella phage SEN1,Salmonella enterica
389,Salmonella phage SEN22,Salmonella enterica
390,Salmonella phage MA12,Salmonella enterica subsp. enterica serovar Enteritidis
391,Salmonella virus GG32,Salmonella enterica subsp. enterica serovar Typhimurium
392,Salmonella phage SEN4,Salmonella enterica
393,Salmonella phage SEN5,Salmonella enterica
394,Synechococcus phage S-CAM4,Synechococcus sp.
395,Streptococcus phage phiARI0131-1,Streptococcus pneumoniae
396,Salmonella virus 118970sal2,Salmonella enterica
397,Synechococcus phage S-CAM22,Synechococcus sp.
398,Flavobacterium phage Fpv3,Flavobacterium psychrophilum
399,Flavobacterium phage Fpv7,Flavobacterium psychrophilum
400,Synechococcus phage S-CAM3,Synechococcus sp.
401,Streptococcus phage phiARI0746,Streptococcus pneumoniae
402,Pseudoalteromonas phage PH1,Pseudoalteromonas marina DSM 17587
403,Campylobacter phage PC14,Campylobacter jejuni
404,Streptococcus phage phiARI0031,Streptococcus pneumoniae
405,Flavobacterium virus 1H,Flavobacterium psychrophilum
406,Flavobacterium phage Fpv20,Flavobacterium psychrophilum
407,Streptococcus phage phiARI0460-1,Streptococcus pneumoniae
408,Flavobacterium virus Fpv1,Flavobacterium psychrophilum
409,Streptococcus phage phiARI0468-4,Streptococcus pneumoniae
410,Pseudoalteromonas phage BS5,Pseudoalteromonas atlantica
411,Salmonella phage 64795_sal3,Salmonella enterica
412,Flavobacterium phage Fpv8,Flavobacterium psychrophilum
413,Streptococcus phage phiARI0004,Streptococcus pneumoniae
414,Flavobacterium phage Fpv5,Flavobacterium psychrophilum
415,Synechococcus phage S-CAM9,Synechococcus sp.
416,Streptococcus phage phiARI0468-2,Streptococcus pneumoniae
417,Salmonella phage IME207,Klebsiella pneumoniae
418,Salmonella phage BPS11Q3,Salmonella enterica subsp. enterica serovar Enteritidis
419,Flavobacterium virus 2A,Flavobacterium psychrophilum
420,Synechococcus phage S-CAM7,Synechococcus sp.
421,Escherichia virus WG01,Escherichia coli
422,Streptococcus phage phiARI0468-1,Streptococcus pneumoniae
423,Salmonella phage 118970_sal1,Salmonella enterica
424,Flavobacterium phage Fpv2,Flavobacterium psychrophilum
425,Flavobacterium phage Fpv10,Flavobacterium psychrophilum
426,Escherichia virus MX01,Escherichia coli
427,Synechococcus phage S-WAM2,Synechococcus sp.
428,Gordonia virus GAL1,Gordonia alkanivorans
429,Escherichia phage LM33_P1,Escherichia coli
430,Flavobacterium phage Fpv6,Flavobacterium psychrophilum
431,Salmonella virus BPS15Q2,Salmonella enterica subsp. enterica serovar Heidelberg
432,Salmonella phage 118970_sal3,Salmonella enterica
433,Streptococcus phage phiARI0131-2,Streptococcus pneumoniae
434,Streptococcus phage phiARI0462,Streptococcus pneumoniae
435,Escherichia phage vB_EcoP_GA2A,Escherichia coli
436,Synechococcus phage S-WAM1,Synechococcus sp.
437,Flavobacterium phage Fpv11,Flavobacterium psychrophilum
438,Salmonella phage 103203_sal5,Salmonella enterica
439,Pseudomonas virus PaP3,Unknown
440,Mycobacterium virus Adawi,Mycolicibacterium smegmatis MC2 155
441,Arthrobacter virus Mudcat,Arthrobacter sp. ATCC 21022
442,Salmonella phage BP12C,Salmonella enterica
443,Gordonia virus Hotorobo,Gordonia terrae
444,Gordonia virus Yvonnetastic,Gordonia terrae
445,Arthrobacter virus Kellezzio,Arthrobacter sp. ATCC 21022
446,Gordonia virus Kita,Gordonia terrae
447,Gordonia virus Emalyn,Gordonia terrae
448,Cyanophage S-RIM32,Synechococcus sp.
449,Gordonia phage Obliviate,Gordonia terrae
450,Mycobacterium phage Catalina,Mycolicibacterium smegmatis MC2 155
451,Gordonia virus Vivi2,Gordonia terrae
452,Staphylococcus phage CNPx,Staphylococcus epidermidis
453,Cyanophage S-RIM50,Synechococcus sp.
454,Mycobacterium virus Xeno,Mycolicibacterium smegmatis MC2 155
455,Bacillus virus SP15,Bacillus subtilis
456,Klebsiella virus KpV71,Klebsiella pneumoniae
457,Gordonia virus BetterKatz,Gordonia terrae
458,Gordonia phage UmaThurman,Gordonia terrae
459,Salmonella phage BP63,Salmonella enterica
460,Gordonia phage SoilAssassin,Gordonia terrae
461,Arthrobacter virus BarretLemon,Arthrobacter sp. ATCC 21022
462,Mycobacterium phage Bipper,Mycolicibacterium smegmatis MC2 155
463,Arthrobacter virus Kitkat,Arthrobacter sp. ATCC 21022
464,Gordonia phage Schnabeltier,Gordonia terrae
465,Mycobacterium phage Loser,Mycolicibacterium smegmatis MC2 155
466,Mycobacterium phage Mulciber,Mycolicibacterium smegmatis MC2 155
467,Salmonella phage BP12A,Salmonella enterica
468,Enterococcus virus EcZZ2,Enterococcus faecium
469,Mycobacterium phage Shipwreck,Mycolicibacterium smegmatis MC2 155
470,Mycobacterium phage Brocalys,Mycolicibacterium smegmatis MC2 155
471,Mycobacterium phage EvilGenius,Mycolicibacterium smegmatis MC2 155
472,Brucella phage BiPBO1,Brucella inopinata
473,Gordonia phage Guacamole,Gordonia terrae
474,Mycobacterium virus Phrann,Mycolicibacterium smegmatis MC2 155
475,Gordonia phage Lucky10,Gordonia terrae
476,Salmonella phage BP12B,Salmonella enterica
477,Pseudomonas phage O4,Pseudomonas aeruginosa PAO1
478,Mycobacterium phage ArcherNM,Mycolicibacterium smegmatis MC2 155
